작품id,작품id 링크,작품 제목,작가id,저자,ISNI,연도,링크,선정 이유 or 참고 자료,민족문화대백과사전 링크,민족문화대백과사전 id
없음,없음,청춘극장(장편),https://www.wikidata.org/wiki/Special:EntityPage/Q625336,김내성,0000 0004 5440 1918,1949,https://ko.wikisource.org/wiki/청춘극장/2권/3장,김내성이 해방 후 주로 창작했던 대중 연애 소설의 대표작.,https://encykorea.aks.ac.kr/Article/E0056803,E0056803
없음,없음,청춘극장(장편),https://www.wikidata.org/wiki/Special:EntityPage/Q625336,김내성,0000 0004 5440 1918,1949,https://ko.wikisource.org/wiki/청춘극장/2권/4장,김내성이 해방 후 주로 창작했던 대중 연애 소설의 대표작.,https://encykorea.aks.ac.kr/Article/E0056803,E0056803
없음,없음,청춘극장(장편),https://www.wikidata.org/wiki/Special:EntityPage/Q625336,김내성,0000 0004 5440 1918,1949,https://ko.wikisource.org/wiki/청춘극장/2권/5장,김내성이 해방 후 주로 창작했던 대중 연애 소설의 대표작.,https://encykorea.aks.ac.kr/Article/E0056803,E0056803
없음,없음,청춘극장(장편),https://www.wikidata.org/wiki/Special:EntityPage/Q625336,김내성,0000 0004 5440 1918,1949,https://ko.wikisource.org/wiki/청춘극장/2권/6장,김내성이 해방 후 주로 창작했던 대중 연애 소설의 대표작.,https://encykorea.aks.ac.kr/Article/E0056803,E0056803
없음,없음,청춘극장(장편),https://www.wikidata.org/wiki/Special:EntityPage/Q625336,김내성,0000 0004 5440 1918,1949,https://ko.wikisource.org/wiki/청춘극장/2권/7장,김내성이 해방 후 주로 창작했던 대중 연애 소설의 대표작.,https://encykorea.aks.ac.kr/Article/E0056803,E0056803
없음,없음,청춘극장(장편),https://www.wikidata.org/wiki/Special:EntityPage/Q625336,김내성,0000 0004 5440 1918,1949,https://ko.wikisource.org/wiki/청춘극장/2권/8장,김내성이 해방 후 주로 창작했던 대중 연애 소설의 대표작.,https://encykorea.aks.ac.kr/Article/E0056803,E0056803
없음,없음,청춘극장(장편),https://www.wikidata.org/wiki/Special:EntityPage/Q625336,김내성,0000 0004 5440 1918,1949,https://ko.wikisource.org/wiki/청춘극장/2권/9장,김내성이 해방 후 주로 창작했던 대중 연애 소설의 대표작.,https://encykorea.aks.ac.kr/Article/E0056803,E0056803
없음,없음,청춘극장(장편),https://www.wikidata.org/wiki/Special:EntityPage/Q625336,김내성,0000 0004 5440 1918,1949,https://ko.wikisource.org/wiki/청춘극장/2권/10장,김내성이 해방 후 주로 창작했던 대중 연애 소설의 대표작.,https://encykorea.aks.ac.kr/Article/E0056803,E0056803
없음,없음,청춘극장(장편),https://www.wikidata.org/wiki/Special:EntityPage/Q625336,김내성,0000 0004 5440 1918,1949,https://ko.wikisource.org/wiki/청춘극장/2권/11장,김내성이 해방 후 주로 창작했던 대중 연애 소설의 대표작.,https://encykorea.aks.ac.kr/Article/E0056803,E0056803
없음,없음,청춘극장(장편),https://www.wikidata.org/wiki/Special:EntityPage/Q625336,김내성,0000 0004 5440 1918,1949,https://ko.wikisource.org/wiki/청춘극장/2권/12장,김내성이 해방 후 주로 창작했던 대중 연애 소설의 대표작.,https://encykorea.aks.ac.kr/Article/E0056803,E0056803
없음,없음,청춘극장(장편),https://www.wikidata.org/wiki/Special:EntityPage/Q625336,김내성,0000 0004 5440 1918,1949,https://ko.wikisource.org/wiki/청춘극장/2권/13장,김내성이 해방 후 주로 창작했던 대중 연애 소설의 대표작.,https://encykorea.aks.ac.kr/Article/E0056803,E0056803
없음,없음,청춘극장(장편),https://www.wikidata.org/wiki/Special:EntityPage/Q625336,김내성,0000 0004 5440 1918,1949,https://ko.wikisource.org/wiki/청춘극장/2권/14장,김내성이 해방 후 주로 창작했던 대중 연애 소설의 대표작.,https://encykorea.aks.ac.kr/Article/E0056803,E0056803
없음,없음,청춘극장(장편),https://www.wikidata.org/wiki/Special:EntityPage/Q625336,김내성,0000 0004 5440 1918,1949,https://ko.wikisource.org/wiki/청춘극장/2권/15장,김내성이 해방 후 주로 창작했던 대중 연애 소설의 대표작.,https://encykorea.aks.ac.kr/Article/E0056803,E0056803
없음,없음,청춘극장(장편),https://www.wikidata.org/wiki/Special:EntityPage/Q625336,김내성,0000 0004 5440 1918,1949,https://ko.wikisource.org/wiki/청춘극장/2권/16장,김내성이 해방 후 주로 창작했던 대중 연애 소설의 대표작.,https://encykorea.aks.ac.kr/Article/E0056803,E0056803
없음,없음,청춘극장(장편),https://www.wikidata.org/wiki/Special:EntityPage/Q625336,김내성,0000 0004 5440 1918,1949,https://ko.wikisource.org/wiki/청춘극장/2권/17장,김내성이 해방 후 주로 창작했던 대중 연애 소설의 대표작.,https://encykorea.aks.ac.kr/Article/E0056803,E0056803
없음,없음,청춘극장(장편),https://www.wikidata.org/wiki/Special:EntityPage/Q625336,김내성,0000 0004 5440 1918,1949,https://ko.wikisource.org/wiki/청춘극장/2권/18장,김내성이 해방 후 주로 창작했던 대중 연애 소설의 대표작.,https://encykorea.aks.ac.kr/Article/E0056803,E0056803
없음,없음,청춘극장(장편),https://www.wikidata.org/wiki/Special:EntityPage/Q625336,김내성,0000 0004 5440 1918,1949,https://ko.wikisource.org/wiki/청춘극장/2권/19장,김내성이 해방 후 주로 창작했던 대중 연애 소설의 대표작.,https://encykorea.aks.ac.kr/Article/E0056803,E0056803
없음,없음,청춘극장(장편),https://www.wikidata.org/wiki/Special:EntityPage/Q625336,김내성,0000 0004 5440 1918,1949,https://ko.wikisource.org/wiki/청춘극장/2권/20장,김내성이 해방 후 주로 창작했던 대중 연애 소설의 대표작.,https://encykorea.aks.ac.kr/Article/E0056803,E0056803
없음,없음,청춘극장(장편),https://www.wikidata.org/wiki/Special:EntityPage/Q625336,김내성,0000 0004 5440 1918,1949,https://ko.wikisource.org/wiki/청춘극장/2권/21장,김내성이 해방 후 주로 창작했던 대중 연애 소설의 대표작.,https://encykorea.aks.ac.kr/Article/E0056803,E0056803
없음,없음,청춘극장(장편),https://www.wikidata.org/wiki/Special:EntityPage/Q625336,김내성,0000 0004 5440 1918,1949,https://ko.wikisource.org/wiki/청춘극장/2권/22장,김내성이 해방 후 주로 창작했던 대중 연애 소설의 대표작.,https://encykorea.aks.ac.kr/Article/E0056803,E0056803
없음,없음,청춘극장(장편),https://www.wikidata.org/wiki/Special:EntityPage/Q625336,김내성,0000 0004 5440 1918,1949,https://ko.wikisource.org/wiki/청춘극장/2권/23장,김내성이 해방 후 주로 창작했던 대중 연애 소설의 대표작.,https://encykorea.aks.ac.kr/Article/E0056803,E0056803
없음,없음,청춘극장(장편),https://www.wikidata.org/wiki/Special:EntityPage/Q625336,김내성,0000 0004 5440 1918,1949,https://ko.wikisource.org/wiki/청춘극장/2권/24장,김내성이 해방 후 주로 창작했던 대중 연애 소설의 대표작.,https://encykorea.aks.ac.kr/Article/E0056803,E0056803
없음,없음,청춘극장(장편),https://www.wikidata.org/wiki/Special:EntityPage/Q625336,김내성,0000 0004 5440 1918,1949,https://ko.wikisource.org/wiki/청춘극장/2권/25장,김내성이 해방 후 주로 창작했던 대중 연애 소설의 대표작.,https://encykorea.aks.ac.kr/Article/E0056803,E0056803
없음,없음,청춘극장(장편),https://www.wikidata.org/wiki/Special:EntityPage/Q625336,김내성,0000 0004 5440 1918,1949,https://ko.wikisource.org/wiki/청춘극장/2권/26장,김내성이 해방 후 주로 창작했던 대중 연애 소설의 대표작.,https://encykorea.aks.ac.kr/Article/E0056803,E0056803
없음,없음,청춘극장(장편),https://www.wikidata.org/wiki/Special:EntityPage/Q625336,김내성,0000 0004 5440 1918,1949,https://ko.wikisource.org/wiki/청춘극장/2권/27장,김내성이 해방 후 주로 창작했던 대중 연애 소설의 대표작.,https://encykorea.aks.ac.kr/Article/E0056803,E0056803
없음,없음,청춘극장(장편),https://www.wikidata.org/wiki/Special:EntityPage/Q625336,김내성,0000 0004 5440 1918,1949,https://ko.wikisource.org/wiki/청춘극장/2권/28장,김내성이 해방 후 주로 창작했던 대중 연애 소설의 대표작.,https://encykorea.aks.ac.kr/Article/E0056803,E0056803
없음,없음,청춘극장(장편),https://www.wikidata.org/wiki/Special:EntityPage/Q625336,김내성,0000 0004 5440 1918,1949,https://ko.wikisource.org/wiki/청춘극장/2권/29장,김내성이 해방 후 주로 창작했던 대중 연애 소설의 대표작.,https://encykorea.aks.ac.kr/Article/E0056803,E0056803
없음,없음,청춘극장(장편),https://www.wikidata.org/wiki/Special:EntityPage/Q625336,김내성,0000 0004 5440 1918,1949,https://ko.wikisource.org/wiki/청춘극장/2권/30장,김내성이 해방 후 주로 창작했던 대중 연애 소설의 대표작.,https://encykorea.aks.ac.kr/Article/E0056803,E0056803
없음,없음,청춘극장(장편),https://www.wikidata.org/wiki/Special:EntityPage/Q625336,김내성,0000 0004 5440 1918,1949,https://ko.wikisource.org/wiki/청춘극장/2권/31장,김내성이 해방 후 주로 창작했던 대중 연애 소설의 대표작.,https://encykorea.aks.ac.kr/Article/E0056803,E0056803
없음,없음,청춘극장(장편),https://www.wikidata.org/wiki/Special:EntityPage/Q625336,김내성,0000 0004 5440 1918,1949,https://ko.wikisource.org/wiki/청춘극장/2권/32장,김내성이 해방 후 주로 창작했던 대중 연애 소설의 대표작.,https://encykorea.aks.ac.kr/Article/E0056803,E0056803
없음,없음,청춘극장(장편),https://www.wikidata.org/wiki/Special:EntityPage/Q625336,김내성,0000 0004 5440 1918,1949,https://ko.wikisource.org/wiki/청춘극장/2권/33장,김내성이 해방 후 주로 창작했던 대중 연애 소설의 대표작.,https://encykorea.aks.ac.kr/Article/E0056803,E0056803
없음,없음,청춘극장(장편),https://www.wikidata.org/wiki/Special:EntityPage/Q625336,김내성,0000 0004 5440 1918,1949,https://ko.wikisource.org/wiki/청춘극장/2권/34장,김내성이 해방 후 주로 창작했던 대중 연애 소설의 대표작.,https://encykorea.aks.ac.kr/Article/E0056803,E0056803
없음,없음,청춘극장(장편),https://www.wikidata.org/wiki/Special:EntityPage/Q625336,김내성,0000 0004 5440 1918,1949,https://ko.wikisource.org/wiki/청춘극장/2권/35장,김내성이 해방 후 주로 창작했던 대중 연애 소설의 대표작.,https://encykorea.aks.ac.kr/Article/E0056803,E0056803
없음,없음,청춘극장(장편),https://www.wikidata.org/wiki/Special:EntityPage/Q625336,김내성,0000 0004 5440 1918,1949,https://ko.wikisource.org/wiki/청춘극장/2권/36장,김내성이 해방 후 주로 창작했던 대중 연애 소설의 대표작.,https://encykorea.aks.ac.kr/Article/E0056803,E0056803
없음,없음,청춘극장(장편),https://www.wikidata.org/wiki/Special:EntityPage/Q625336,김내성,0000 0004 5440 1918,1949,https://ko.wikisource.org/wiki/청춘극장/2권/37장,김내성이 해방 후 주로 창작했던 대중 연애 소설의 대표작.,https://encykorea.aks.ac.kr/Article/E0056803,E0056803
없음,없음,청춘극장(장편),https://www.wikidata.org/wiki/Special:EntityPage/Q625336,김내성,0000 0004 5440 1918,1949,https://ko.wikisource.org/wiki/청춘극장/2권/38장,김내성이 해방 후 주로 창작했던 대중 연애 소설의 대표작.,https://encykorea.aks.ac.kr/Article/E0056803,E0056803
없음,없음,청춘극장(장편),https://www.wikidata.org/wiki/Special:EntityPage/Q625336,김내성,0000 0004 5440 1918,1949,https://ko.wikisource.org/wiki/청춘극장/2권/39장,김내성이 해방 후 주로 창작했던 대중 연애 소설의 대표작.,https://encykorea.aks.ac.kr/Article/E0056803,E0056803
없음,없음,청춘극장(장편),https://www.wikidata.org/wiki/Special:EntityPage/Q625336,김내성,0000 0004 5440 1918,1949,https://ko.wikisource.org/wiki/청춘극장/2권/40장,김내성이 해방 후 주로 창작했던 대중 연애 소설의 대표작.,https://encykorea.aks.ac.kr/Article/E0056803,E0056803
없음,없음,청춘극장(장편),https://www.wikidata.org/wiki/Special:EntityPage/Q625336,김내성,0000 0004 5440 1918,1949,https://ko.wikisource.org/wiki/청춘극장/2권/41장,김내성이 해방 후 주로 창작했던 대중 연애 소설의 대표작.,https://encykorea.aks.ac.kr/Article/E0056803,E0056803
없음,없음,청춘극장(장편),https://www.wikidata.org/wiki/Special:EntityPage/Q625336,김내성,0000 0004 5440 1918,1949,https://ko.wikisource.org/wiki/청춘극장/2권/42장,김내성이 해방 후 주로 창작했던 대중 연애 소설의 대표작.,https://encykorea.aks.ac.kr/Article/E0056803,E0056803
없음,없음,청춘극장(장편),https://www.wikidata.org/wiki/Special:EntityPage/Q625336,김내성,0000 0004 5440 1918,1949,https://ko.wikisource.org/wiki/청춘극장/2권/43장,김내성이 해방 후 주로 창작했던 대중 연애 소설의 대표작.,https://encykorea.aks.ac.kr/Article/E0056803,E0056803
없음,없음,청춘극장(장편),https://www.wikidata.org/wiki/Special:EntityPage/Q625336,김내성,0000 0004 5440 1918,1949,https://ko.wikisource.org/wiki/청춘극장/2권/44장,김내성이 해방 후 주로 창작했던 대중 연애 소설의 대표작.,https://encykorea.aks.ac.kr/Article/E0056803,E0056803
없음,없음,청춘극장(장편),https://www.wikidata.org/wiki/Special:EntityPage/Q625336,김내성,0000 0004 5440 1918,1949,https://ko.wikisource.org/wiki/청춘극장/2권/45장,김내성이 해방 후 주로 창작했던 대중 연애 소설의 대표작.,https://encykorea.aks.ac.kr/Article/E0056803,E0056803
없음,없음,청춘극장(장편),https://www.wikidata.org/wiki/Special:EntityPage/Q625336,김내성,0000 0004 5440 1918,1949,https://ko.wikisource.org/wiki/청춘극장/2권/46장,김내성이 해방 후 주로 창작했던 대중 연애 소설의 대표작.,https://encykorea.aks.ac.kr/Article/E0056803,E0056803
없음,없음,청춘극장(장편),https://www.wikidata.org/wiki/Special:EntityPage/Q625336,김내성,0000 0004 5440 1918,1949,https://ko.wikisource.org/wiki/청춘극장/2권/47장,김내성이 해방 후 주로 창작했던 대중 연애 소설의 대표작.,https://encykorea.aks.ac.kr/Article/E0056803,E0056803
없음,없음,청춘극장(장편),https://www.wikidata.org/wiki/Special:EntityPage/Q625336,김내성,0000 0004 5440 1918,1949,https://ko.wikisource.org/wiki/청춘극장/2권/48장,김내성이 해방 후 주로 창작했던 대중 연애 소설의 대표작.,https://encykorea.aks.ac.kr/Article/E0056803,E0056803
없음,없음,청춘극장(장편),https://www.wikidata.org/wiki/Special:EntityPage/Q625336,김내성,0000 0004 5440 1918,1949,https://ko.wikisource.org/wiki/청춘극장/2권/49장,김내성이 해방 후 주로 창작했던 대중 연애 소설의 대표작.,https://encykorea.aks.ac.kr/Article/E0056803,E0056803
없음,없음,청춘극장(장편),https://www.wikidata.org/wiki/Special:EntityPage/Q625336,김내성,0000 0004 5440 1918,1949,https://ko.wikisource.org/wiki/청춘극장/2권/50장,김내성이 해방 후 주로 창작했던 대중 연애 소설의 대표작.,https://encykorea.aks.ac.kr/Article/E0056803,E0056803
없음,없음,청춘극장(장편),https://www.wikidata.org/wiki/Special:EntityPage/Q625336,김내성,0000 0004 5440 1918,1949,https://ko.wikisource.org/wiki/청춘극장/2권/51장,김내성이 해방 후 주로 창작했던 대중 연애 소설의 대표작.,https://encykorea.aks.ac.kr/Article/E0056803,E0056803
없음,없음,청춘극장(장편),https://www.wikidata.org/wiki/Special:EntityPage/Q625336,김내성,0000 0004 5440 1918,1949,https://ko.wikisource.org/wiki/청춘극장/2권/52장,김내성이 해방 후 주로 창작했던 대중 연애 소설의 대표작.,https://encykorea.aks.ac.kr/Article/E0056803,E0056803
없음,없음,청춘극장(장편),https://www.wikidata.org/wiki/Special:EntityPage/Q625336,김내성,0000 0004 5440 1918,1949,https://ko.wikisource.org/wiki/청춘극장/2권/53장,김내성이 해방 후 주로 창작했던 대중 연애 소설의 대표작.,https://encykorea.aks.ac.kr/Article/E0056803,E0056803
없음,없음,청춘극장(장편),https://www.wikidata.org/wiki/Special:EntityPage/Q625336,김내성,0000 0004 5440 1918,1949,https://ko.wikisource.org/wiki/청춘극장/2권/54장,김내성이 해방 후 주로 창작했던 대중 연애 소설의 대표작.,https://encykorea.aks.ac.kr/Article/E0056803,E0056803
없음,없음,청춘극장(장편),https://www.wikidata.org/wiki/Special:EntityPage/Q625336,김내성,0000 0004 5440 1918,1949,https://ko.wikisource.org/wiki/청춘극장/2권/55장,김내성이 해방 후 주로 창작했던 대중 연애 소설의 대표작.,https://encykorea.aks.ac.kr/Article/E0056803,E0056803
없음,없음,청춘극장(장편),https://www.wikidata.org/wiki/Special:EntityPage/Q625336,김내성,0000 0004 5440 1918,1949,https://ko.wikisource.org/wiki/청춘극장/2권/56장,김내성이 해방 후 주로 창작했던 대중 연애 소설의 대표작.,https://encykorea.aks.ac.kr/Article/E0056803,E0056803
없음,없음,청춘극장(장편),https://www.wikidata.org/wiki/Special:EntityPage/Q625336,김내성,0000 0004 5440 1918,1949,https://ko.wikisource.org/wiki/청춘극장/2권/57장,김내성이 해방 후 주로 창작했던 대중 연애 소설의 대표작.,https://encykorea.aks.ac.kr/Article/E0056803,E0056803
없음,없음,청춘극장(장편),https://www.wikidata.org/wiki/Special:EntityPage/Q625336,김내성,0000 0004 5440 1918,1949,https://ko.wikisource.org/wiki/청춘극장/2권/58장,김내성이 해방 후 주로 창작했던 대중 연애 소설의 대표작.,https://encykorea.aks.ac.kr/Article/E0056803,E0056803
없음,없음,청춘극장(장편),https://www.wikidata.org/wiki/Special:EntityPage/Q625336,김내성,0000 0004 5440 1918,1949,https://ko.wikisource.org/wiki/청춘극장/2권/59장,김내성이 해방 후 주로 창작했던 대중 연애 소설의 대표작.,https://encykorea.aks.ac.kr/Article/E0056803,E0056803
없음,없음,청춘극장(장편),https://www.wikidata.org/wiki/Special:EntityPage/Q625336,김내성,0000 0004 5440 1918,1949,https://ko.wikisource.org/wiki/청춘극장/2권/60장,김내성이 해방 후 주로 창작했던 대중 연애 소설의 대표작.,https://encykorea.aks.ac.kr/Article/E0056803,E0056803
없음,없음,청춘극장(장편),https://www.wikidata.org/wiki/Special:EntityPage/Q625336,김내성,0000 0004 5440 1918,1949,https://ko.wikisource.org/wiki/청춘극장/2권/61장,김내성이 해방 후 주로 창작했던 대중 연애 소설의 대표작.,https://encykorea.aks.ac.kr/Article/E0056803,E0056803
없음,없음,청춘극장(장편),https://www.wikidata.org/wiki/Special:EntityPage/Q625336,김내성,0000 0004 5440 1918,1949,https://ko.wikisource.org/wiki/청춘극장/2권/62장,김내성이 해방 후 주로 창작했던 대중 연애 소설의 대표작.,https://encykorea.aks.ac.kr/Article/E0056803,E0056803
없음,없음,청춘극장(장편),https://www.wikidata.org/wiki/Special:EntityPage/Q625336,김내성,0000 0004 5440 1918,1949,https://ko.wikisource.org/wiki/청춘극장/2권/63장,김내성이 해방 후 주로 창작했던 대중 연애 소설의 대표작.,https://encykorea.aks.ac.kr/Article/E0056803,E0056803
없음,없음,청춘극장(장편),https://www.wikidata.org/wiki/Special:EntityPage/Q625336,김내성,0000 0004 5440 1918,1949,https://ko.wikisource.org/wiki/청춘극장/2권/64장,김내성이 해방 후 주로 창작했던 대중 연애 소설의 대표작.,https://encykorea.aks.ac.kr/Article/E0056803,E0056803
없음,없음,청춘극장(장편),https://www.wikidata.org/wiki/Special:EntityPage/Q625336,김내성,0000 0004 5440 1918,1949,https://ko.wikisource.org/wiki/청춘극장/2권/65장,김내성이 해방 후 주로 창작했던 대중 연애 소설의 대표작.,https://encykorea.aks.ac.kr/Article/E0056803,E0056803
없음,없음,청춘극장(장편),https://www.wikidata.org/wiki/Special:EntityPage/Q625336,김내성,0000 0004 5440 1918,1949,https://ko.wikisource.org/wiki/청춘극장/3권/1장,김내성이 해방 후 주로 창작했던 대중 연애 소설의 대표작.,https://encykorea.aks.ac.kr/Article/E0056803,E0056803
없음,없음,청춘극장(장편),https://www.wikidata.org/wiki/Special:EntityPage/Q625336,김내성,0000 0004 5440 1918,1949,https://ko.wikisource.org/wiki/청춘극장/3권/2장,김내성이 해방 후 주로 창작했던 대중 연애 소설의 대표작.,https://encykorea.aks.ac.kr/Article/E0056803,E0056803
없음,없음,청춘극장(장편),https://www.wikidata.org/wiki/Special:EntityPage/Q625336,김내성,0000 0004 5440 1918,1949,https://ko.wikisource.org/wiki/청춘극장/3권/3장,김내성이 해방 후 주로 창작했던 대중 연애 소설의 대표작.,https://encykorea.aks.ac.kr/Article/E0056803,E0056803
없음,없음,청춘극장(장편),https://www.wikidata.org/wiki/Special:EntityPage/Q625336,김내성,0000 0004 5440 1918,1949,https://ko.wikisource.org/wiki/청춘극장/3권/4장,김내성이 해방 후 주로 창작했던 대중 연애 소설의 대표작.,https://encykorea.aks.ac.kr/Article/E0056803,E0056803
없음,없음,청춘극장(장편),https://www.wikidata.org/wiki/Special:EntityPage/Q625336,김내성,0000 0004 5440 1918,1949,https://ko.wikisource.org/wiki/청춘극장/3권/5장,김내성이 해방 후 주로 창작했던 대중 연애 소설의 대표작.,https://encykorea.aks.ac.kr/Article/E0056803,E0056803
없음,없음,청춘극장(장편),https://www.wikidata.org/wiki/Special:EntityPage/Q625336,김내성,0000 0004 5440 1918,1949,https://ko.wikisource.org/wiki/청춘극장/3권/6장,김내성이 해방 후 주로 창작했던 대중 연애 소설의 대표작.,https://encykorea.aks.ac.kr/Article/E0056803,E0056803
없음,없음,청춘극장(장편),https://www.wikidata.org/wiki/Special:EntityPage/Q625336,김내성,0000 0004 5440 1918,1949,https://ko.wikisource.org/wiki/청춘극장/3권/7장,김내성이 해방 후 주로 창작했던 대중 연애 소설의 대표작.,https://encykorea.aks.ac.kr/Article/E0056803,E0056803
없음,없음,청춘극장(장편),https://www.wikidata.org/wiki/Special:EntityPage/Q625336,김내성,0000 0004 5440 1918,1949,https://ko.wikisource.org/wiki/청춘극장/3권/8장,김내성이 해방 후 주로 창작했던 대중 연애 소설의 대표작.,https://encykorea.aks.ac.kr/Article/E0056803,E0056803
없음,없음,청춘극장(장편),https://www.wikidata.org/wiki/Special:EntityPage/Q625336,김내성,0000 0004 5440 1918,1949,https://ko.wikisource.org/wiki/청춘극장/3권/9장,김내성이 해방 후 주로 창작했던 대중 연애 소설의 대표작.,https://encykorea.aks.ac.kr/Article/E0056803,E0056803
없음,없음,청춘극장(장편),https://www.wikidata.org/wiki/Special:EntityPage/Q625336,김내성,0000 0004 5440 1918,1949,https://ko.wikisource.org/wiki/청춘극장/3권/10장,김내성이 해방 후 주로 창작했던 대중 연애 소설의 대표작.,https://encykorea.aks.ac.kr/Article/E0056803,E0056803
없음,없음,청춘극장(장편),https://www.wikidata.org/wiki/Special:EntityPage/Q625336,김내성,0000 0004 5440 1918,1949,https://ko.wikisource.org/wiki/청춘극장/3권/11장,김내성이 해방 후 주로 창작했던 대중 연애 소설의 대표작.,https://encykorea.aks.ac.kr/Article/E0056803,E0056803
없음,없음,청춘극장(장편),https://www.wikidata.org/wiki/Special:EntityPage/Q625336,김내성,0000 0004 5440 1918,1949,https://ko.wikisource.org/wiki/청춘극장/3권/12장,김내성이 해방 후 주로 창작했던 대중 연애 소설의 대표작.,https://encykorea.aks.ac.kr/Article/E0056803,E0056803
없음,없음,청춘극장(장편),https://www.wikidata.org/wiki/Special:EntityPage/Q625336,김내성,0000 0004 5440 1918,1949,https://ko.wikisource.org/wiki/청춘극장/3권/13장,김내성이 해방 후 주로 창작했던 대중 연애 소설의 대표작.,https://encykorea.aks.ac.kr/Article/E0056803,E0056803
없음,없음,청춘극장(장편),https://www.wikidata.org/wiki/Special:EntityPage/Q625336,김내성,0000 0004 5440 1918,1949,https://ko.wikisource.org/wiki/청춘극장/3권/14장,김내성이 해방 후 주로 창작했던 대중 연애 소설의 대표작.,https://encykorea.aks.ac.kr/Article/E0056803,E0056803
없음,없음,청춘극장(장편),https://www.wikidata.org/wiki/Special:EntityPage/Q625336,김내성,0000 0004 5440 1918,1949,https://ko.wikisource.org/wiki/청춘극장/3권/15장,김내성이 해방 후 주로 창작했던 대중 연애 소설의 대표작.,https://encykorea.aks.ac.kr/Article/E0056803,E0056803
없음,없음,청춘극장(장편),https://www.wikidata.org/wiki/Special:EntityPage/Q625336,김내성,0000 0004 5440 1918,1949,https://ko.wikisource.org/wiki/청춘극장/3권/16장,김내성이 해방 후 주로 창작했던 대중 연애 소설의 대표작.,https://encykorea.aks.ac.kr/Article/E0056803,E0056803
없음,없음,청춘극장(장편),https://www.wikidata.org/wiki/Special:EntityPage/Q625336,김내성,0000 0004 5440 1918,1949,https://ko.wikisource.org/wiki/청춘극장/3권/17장,김내성이 해방 후 주로 창작했던 대중 연애 소설의 대표작.,https://encykorea.aks.ac.kr/Article/E0056803,E0056803
없음,없음,청춘극장(장편),https://www.wikidata.org/wiki/Special:EntityPage/Q625336,김내성,0000 0004 5440 1918,1949,https://ko.wikisource.org/wiki/청춘극장/3권/18장,김내성이 해방 후 주로 창작했던 대중 연애 소설의 대표작.,https://encykorea.aks.ac.kr/Article/E0056803,E0056803
없음,없음,청춘극장(장편),https://www.wikidata.org/wiki/Special:EntityPage/Q625336,김내성,0000 0004 5440 1918,1949,https://ko.wikisource.org/wiki/청춘극장/3권/19장,김내성이 해방 후 주로 창작했던 대중 연애 소설의 대표작.,https://encykorea.aks.ac.kr/Article/E0056803,E0056803
없음,없음,청춘극장(장편),https://www.wikidata.org/wiki/Special:EntityPage/Q625336,김내성,0000 0004 5440 1918,1949,https://ko.wikisource.org/wiki/청춘극장/3권/20장,김내성이 해방 후 주로 창작했던 대중 연애 소설의 대표작.,https://encykorea.aks.ac.kr/Article/E0056803,E0056803
없음,없음,청춘극장(장편),https://www.wikidata.org/wiki/Special:EntityPage/Q625336,김내성,0000 0004 5440 1918,1949,https://ko.wikisource.org/wiki/청춘극장/3권/21장,김내성이 해방 후 주로 창작했던 대중 연애 소설의 대표작.,https://encykorea.aks.ac.kr/Article/E0056803,E0056803
없음,없음,청춘극장(장편),https://www.wikidata.org/wiki/Special:EntityPage/Q625336,김내성,0000 0004 5440 1918,1949,https://ko.wikisource.org/wiki/청춘극장/3권/22장,김내성이 해방 후 주로 창작했던 대중 연애 소설의 대표작.,https://encykorea.aks.ac.kr/Article/E0056803,E0056803
없음,없음,청춘극장(장편),https://www.wikidata.org/wiki/Special:EntityPage/Q625336,김내성,0000 0004 5440 1918,1949,https://ko.wikisource.org/wiki/청춘극장/3권/23장,김내성이 해방 후 주로 창작했던 대중 연애 소설의 대표작.,https://encykorea.aks.ac.kr/Article/E0056803,E0056803
없음,없음,청춘극장(장편),https://www.wikidata.org/wiki/Special:EntityPage/Q625336,김내성,0000 0004 5440 1918,1949,https://ko.wikisource.org/wiki/청춘극장/3권/24장,김내성이 해방 후 주로 창작했던 대중 연애 소설의 대표작.,https://encykorea.aks.ac.kr/Article/E0056803,E0056803
없음,없음,청춘극장(장편),https://www.wikidata.org/wiki/Special:EntityPage/Q625336,김내성,0000 0004 5440 1918,1949,https://ko.wikisource.org/wiki/청춘극장/3권/25장,김내성이 해방 후 주로 창작했던 대중 연애 소설의 대표작.,https://encykorea.aks.ac.kr/Article/E0056803,E0056803
없음,없음,청춘극장(장편),https://www.wikidata.org/wiki/Special:EntityPage/Q625336,김내성,0000 0004 5440 1918,1949,https://ko.wikisource.org/wiki/청춘극장/3권/26장,김내성이 해방 후 주로 창작했던 대중 연애 소설의 대표작.,https://encykorea.aks.ac.kr/Article/E0056803,E0056803
없음,없음,청춘극장(장편),https://www.wikidata.org/wiki/Special:EntityPage/Q625336,김내성,0000 0004 5440 1918,1949,https://ko.wikisource.org/wiki/청춘극장/3권/27장,김내성이 해방 후 주로 창작했던 대중 연애 소설의 대표작.,https://encykorea.aks.ac.kr/Article/E0056803,E0056803
없음,없음,청춘극장(장편),https://www.wikidata.org/wiki/Special:EntityPage/Q625336,김내성,0000 0004 5440 1918,1949,https://ko.wikisource.org/wiki/청춘극장/3권/28장,김내성이 해방 후 주로 창작했던 대중 연애 소설의 대표작.,https://encykorea.aks.ac.kr/Article/E0056803,E0056803
